job_id,title,company,city,location,work_mode,applications,posted_before,skills,url
4276661111,Social hållbarhetsstrateg,Vätterhem,Jönköping,"Jönköping, Jönköping County, Sweden",On-site,69.0,1 week ago,"Strategic Communication, Real Estate, +7 more",https://www.linkedin.com/jobs/search/?currentJobId=4276661111&keywords=&location=Sweden&start=100
4277399558,Hej Lönekonsult!,Eskilstuna Strängnäs Energi och Miljö AB,Eskilstuna,"Eskilstuna, Södermanland County, Sweden",,28.0,4 days ago,"Payment, PeopleSoft, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4277399558&keywords=&location=Sweden&start=100
4265966829,Max Uppsala Gnista söker biträdande restaurangchef,MAX Burgers,Uppsala,"Uppsala, Uppsala County, Sweden",,1.0,3 weeks ago,"Hotel Management, Food and Beverage, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4265966829&keywords=&location=Sweden&start=100
4269418482,Badvärd,HEKAJO AB,Malmo,"Malmo, Skåne County, Sweden",On-site,4.0,3 weeks ago,"AV, Home Location Register, +3 more",https://www.linkedin.com/jobs/search/?currentJobId=4269418482&keywords=&location=Sweden&start=100
4261142016,Mötesbokare 100% Remote från Utlandet,Nilsson IT Consultancy,Sweden,Sweden,Remote,100.0,4 weeks ago,"Advertising, Sales Process, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4261142016&keywords=&location=Sweden&start=100
4261910889,Graduate Program - Junior Finance Controller,"FlexLink, a Coesia company",Gothenburg,"Gothenburg, Västra Götaland County, Sweden",Hybrid,100.0,Reposted 4 days ago,"Accounting, SAP Enterprise Resource Planning, +4 more",https://www.linkedin.com/jobs/search/?currentJobId=4261910889&keywords=&location=Sweden&start=100
4278769281,Urdu Interpreter,Dals,European Union,European Union,Remote,100.0,1 week ago,"Interpersonal Skills, Foreign Languages, +5 more",https://www.linkedin.com/jobs/search/?currentJobId=4278769281&keywords=&location=Sweden&start=100
4265213046,Lönekonsult,BDO Sverige,Malmo,"Malmo, Skåne County, Sweden",On-site,34.0,4 weeks ago,"Analytical skills, salary payment, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4265213046&keywords=&location=Sweden&start=100
4273062436,Södra söker Planläggningsentreprenörer,Södra,Kalmar County,"Kalmar County, Sweden",,1.0,1 week ago,"TAKE, OFF, +1 More",https://www.linkedin.com/jobs/search/?currentJobId=4273062436&keywords=&location=Sweden&start=100
4277210535,Elevstödjare 75% Klara Postgatan Göteborg,Academedia,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",On-site,12.0,1 week ago,"AV, open source software, +2 more",https://www.linkedin.com/jobs/search/?currentJobId=4277210535&keywords=&location=Sweden&start=100
4256045213,IT Support Technician,Paradox Interactive,Stockholm,"Stockholm, Stockholm County, Sweden",,100.0,Reposted 2 days ago,"Linux, Troubleshooting, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4256045213&keywords=&location=Sweden&start=100
4278529599,Bovärd till Riksbyggen i Lund,Riksbyggen - Rum för hela livet,Lund,"Lund, Skåne County, Sweden",,12.0,1 week ago,"TAKE, OFF, +7 More",https://www.linkedin.com/jobs/search/?currentJobId=4278529599&keywords=&location=Sweden&start=100
4179478739,Spontanansökan SvD,Svenska Dagbladet,Stockholm,"Stockholm, Stockholm County, Sweden",Hybrid,100.0,Reposted 1 week ago,"Takt, Operations Management",https://www.linkedin.com/jobs/search/?currentJobId=4179478739&keywords=&location=Sweden&start=100
4278685031,Biträdande förvaltare till Älvsjö,Familjebostäder,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,81.0,1 week ago,"Public Administration, Statistics, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4278685031&keywords=&location=Sweden&start=100
4281482552,Chief Financial Officer,Confidential Co.,EMEA,EMEA,Remote,57.0,1 day ago,"Analytical Skills, English, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4281482552&keywords=&location=Sweden&start=100
4277395404,Customer Success Specialist,Elvy,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,100.0,4 days ago,"Customer Management, Customer Experience, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4277395404&keywords=&location=Sweden&start=100
4269298081,Executive Butler,Confidential,European Union,European Union,Remote,100.0,2 weeks ago,"Demo, Attention to Details, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4269298081&keywords=&location=Sweden&start=100
4266911767,Studentmedarbetare inriktning juridik,University of Gothenburg,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",On-site,2.0,3 weeks ago,"Law, Labor Law, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4266911767&keywords=&location=Sweden&start=125
4277472215,Lokalvårdare till Uppsalahems södra distrikt,Uppsalahem AB,Uppsala,"Uppsala, Uppsala County, Sweden",On-site,9.0,1 week ago,"Housekeeping, Training, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4277472215&keywords=&location=Sweden&start=125
